signal,score,nodes per hidden layer
GluGluToRadionToHHTo2G2Tau_M-300,0.8317499027850581,"[8, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8991800899151495,"[16, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.891106884082301,"[16, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8731980538307358,"[32, 32, 16]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8719089592677566,"[32, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8711501911930877,"[64, 64, 32]"
GluGluToRadionToHHTo2G2Tau_M-300,0.9130916520384337,"[64, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-300,0.4910540712827102,"[128, 128, 64]"
GluGluToRadionToHHTo2G2Tau_M-300,0.5,"[16, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8744969823755293,"[32, 32, 16, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8788479674271366,"[32, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.8051084158049914,"[64, 64, 32, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.5,"[64, 128, 64, 8]"
GluGluToRadionToHHTo2G2Tau_M-300,0.5,"[128, 128, 64, 8]"
